year	week	tempr
1974	28	82.88
1974	29	85.00
1974	30	88.96
1974	31	78.11
1974	32	85.06
1974	33	76.39
1974	34	74.23
1974	35	76.42
1974	36	83.68
1974	37	67.62
1974	38	64.36
1974	39	81.70
1974	40	72.67
1974	41	73.59
1974	42	69.09
1974	43	66.75
1974	44	70.03
1974	45	69.53
1974	46	55.33
1974	47	63.17
1974	48	66.00
1974	49	80.86
1974	50	69.57
1974	51	54.85
1974	52	64.21
1975	1	62.12
1975	2	66.21
1975	3	69.77
1975	4	60.84
1975	5	59.44
1975	6	65.65
1975	7	64.09
1975	8	60.63
1975	9	60.19
1975	10	63.92
1975	11	66.83
1975	12	69.48
1975	13	74.17
1975	14	69.29
1975	15	70.86
1975	16	75.34
1975	17	72.66
1975	18	74.91
1975	19	70.17
1975	20	81.41
1975	21	82.03
1975	22	85.76
1975	23	78.54
1975	24	84.44
1975	25	82.87
1975	26	86.52
1975	27	77.50
1975	28	81.72
1975	29	82.61
1975	30	83.09
1975	31	75.74
1975	32	92.27
1975	33	86.41
1975	34	83.03
1975	35	73.16
1975	36	78.82
1975	37	70.51
1975	38	76.06
1975	39	71.35
1975	40	76.99
1975	41	72.96
1975	42	66.78
1975	43	74.69
1975	44	64.15
1975	45	67.28
1975	46	70.73
1975	47	63.84
1975	48	68.01
1975	49	84.19
1975	50	71.08
1975	51	81.45
1975	52	56.52
1976	1	66.95
1976	2	68.92
1976	3	68.90
1976	4	58.70
1976	5	68.56
1976	6	77.03
1976	7	74.53
1976	8	65.47
1976	9	63.42
1976	10	65.54
1976	11	72.34
1976	12	75.18
1976	13	69.01
1976	14	81.77
1976	15	72.28
1976	16	71.28
1976	17	75.07
1976	18	75.16
1976	19	81.58
1976	20	97.05
1976	21	82.14
1976	22	86.48
1976	23	76.96
1976	24	82.26
1976	25	79.43
1976	26	81.49
1976	27	79.63
1976	28	79.22
1976	29	89.34
1976	30	88.24
1976	31	80.14
1976	32	73.39
1976	33	76.39
1976	34	76.47
1976	35	91.30
1976	36	77.99
1976	37	76.10
1976	38	78.61
1976	39	92.59
1976	40	68.47
1976	41	81.56
1976	42	67.83
1976	43	76.99
1976	44	73.07
1976	45	74.46
1976	46	70.52
1976	47	61.91
1976	48	57.10
1976	49	71.27
1976	50	71.62
1976	51	67.98
1976	52	71.32
1977	1	79.33
1977	2	77.07
1977	3	64.14
1977	4	70.01
1977	5	67.66
1977	6	64.96
1977	7	64.32
1977	8	64.39
1977	9	72.46
1977	10	69.26
1977	11	79.96
1977	12	72.32
1977	13	65.33
1977	14	63.72
1977	15	72.99
1977	16	70.59
1977	17	82.12
1977	18	71.94
1977	19	77.99
1977	20	79.02
1977	21	83.07
1977	22	81.49
1977	23	82.91
1977	24	87.11
1977	25	92.02
1977	26	85.54
1977	27	84.15
1977	28	82.93
1977	29	81.01
1977	30	82.98
1977	31	86.47
1977	32	73.07
1977	33	78.81
1977	34	78.61
1977	35	83.80
1977	36	80.63
1977	37	75.79
1977	38	76.87
1977	39	75.78
1977	40	78.31
1977	41	70.57
1977	42	83.35
1977	43	79.17
1977	44	69.94
1977	45	66.75
1977	46	66.62
1977	47	62.94
1977	48	64.65
1977	49	63.45
1977	50	63.91
1977	51	69.26
1977	52	68.55
1978	1	59.60
1978	2	68.71
1978	3	68.35
1978	4	63.91
1978	5	64.59
1978	6	78.16
1978	7	71.89
1978	8	68.35
1978	9	65.57
1978	10	65.92
1978	11	71.91
1978	12	68.16
1978	13	73.90
1978	14	83.73
1978	15	79.38
1978	16	78.17
1978	17	77.30
1978	18	83.43
1978	19	83.93
1978	20	87.74
1978	21	77.66
1978	22	80.67
1978	23	91.38
1978	24	83.42
1978	25	86.22
1978	26	86.73
1978	27	83.13
1978	28	82.40
1978	29	81.07
1978	30	86.72
1978	31	79.65
1978	32	73.96
1978	33	97.15
1978	34	91.51
1978	35	80.58
1978	36	86.14
1978	37	77.45
1978	38	74.57
1978	39	77.18
1978	40	65.59
1978	41	67.10
1978	42	62.08
1978	43	67.25
1978	44	61.28
1978	45	68.06
1978	46	61.26
1978	47	62.92
1978	48	64.12
1978	49	62.73
1978	50	60.33
1978	51	58.26
1978	52	56.32
1979	1	70.43
1979	2	61.93
1979	3	62.81
1979	4	66.10
1979	5	76.30
1979	6	58.65
1979	7	64.99
1979	8	66.89
1979	9	72.41
1979	10	72.35
1979	11	71.47
1979	12	74.14
1979	13	65.76
1979	14	83.13
1979	15	73.70
1979	16	76.09
1979	17	69.63
1979	18	86.79
1979	19	86.49
1979	20	78.49
1979	21	84.70
1979	22	80.75
1979	23	84.53
1979	24	85.34
1979	25	83.88
1979	26	84.91
1979	27	84.63
1979	28	78.23
1979	29	86.60
1979	30	79.98
1979	31	90.93
1979	32	93.43
1979	33	90.16
1979	34	80.38
1979	35	82.37
1979	36	75.35
1979	37	72.29
1979	38	75.68
1979	39	73.33
1979	40	70.52
