"Time"	"Cortex_1"	"Cortex_2"	"Cortex_3"	"Cortex_4"	"Caudate"	"Thalamus_1"	"Thalamus_2"	"Cerebellum_1"	"Cerebellum_2"
time  cort1  cort2  cort3  cort4  thal1  thal2  cere1  cere2
  37  0.417  0.273  0.203  0.001  0.296 -0.019  0.561  0.099
  38  0.340  0.037  0.459  0.229  0.007 -0.045  0.217  0.044
  39  0.366  0.037  0.169  0.261  0.308 -0.140  0.149  0.365
  40  0.427  0.086  0.202  0.398  0.062  0.017 -0.057 -0.150
  41  0.258  0.454  0.127  0.091  0.256 -0.095  0.035  0.123
  42  0.496  0.045  0.335  0.459  0.315  0.013  0.006  0.203
  43  0.383  0.315  0.350  0.178  0.262 -0.167 -0.089  0.077
  44  0.175  0.317  0.011  0.053  0.303 -0.090  0.059  0.284
  45  0.237  0.348  0.286  0.067  0.190  0.198  0.019  0.299
  46  0.383  0.226  0.172  0.138  0.241 -0.046  0.095  0.163
  47  0.354  0.234  0.044  0.047  0.094  0.057  0.114 -0.004
  48  0.325  0.316  0.369  0.103  0.250  0.105  0.054  0.364
  49  0.300  0.204  0.161 -0.016 -0.035  0.042  0.273  0.199
  50  0.148  0.178  0.182 -0.294 -0.025  0.216  0.189  0.052
  51  0.005  0.003  0.070  0.113 -0.062  0.100  0.167 -0.080
  52 -0.175 -0.063 -0.080 -0.155 -0.078  0.026 -0.155 -0.093
  53 -0.330 -0.171 -0.110 -0.050 -0.149 -0.099 -0.102 -0.393
  54 -0.370 -0.043 -0.258 -0.329 -0.067 -0.441 -0.001 -0.149
  55 -0.324  0.093 -0.223 -0.387 -0.173 -0.052 -0.214 -0.289
  56 -0.312 -0.363 -0.238  0.029 -0.304  0.191 -0.009 -0.200
  57 -0.475 -0.118 -0.177 -0.219 -0.438  0.102 -0.035 -0.294
  58 -0.537 -0.322 -0.084 -0.493 -0.229  0.142  0.019 -0.053
  59 -0.574 -0.125 -0.097  0.016  0.046 -0.044 -0.150 -0.332
  60 -0.668 -0.080 -0.242 -0.123 -0.182 -0.172 -0.135 -0.366
  61 -0.226 -0.232 -0.276 -0.114 -0.103 -0.088 -0.360 -0.567
  62 -0.403 -0.227 -0.405 -0.104 -0.194 -0.002 -0.345 -0.261
  63 -0.269 -0.139 -0.107  0.110 -0.048  0.080 -0.031 -0.362
  64 -0.256 -0.152 -0.251 -0.206 -0.226  0.202 -0.224 -0.110
  65 -0.240 -0.121 -0.454  0.154  0.122 -0.113 -0.150 -0.018
  66 -0.113 -0.190 -0.356  0.130 -0.021  0.027 -0.063  0.113
  67  0.248 -0.193 -0.036 -0.068  0.045  0.090  0.357  0.102
  68  0.248  0.010  0.208  0.156 -0.148  0.023  0.428  0.209
  69  0.462  0.032  0.152 -0.024  0.249  0.263  0.431  0.246
  70  0.422  0.103  0.405  0.229  0.123  0.116  0.407  0.421
  71  0.479 -0.029  0.232  0.148  0.052  0.212  0.184  0.231
  72  0.469  0.246  0.166  0.080  0.242  0.184  0.099  0.076
  73  0.328  0.319  0.178  0.079  0.391 -0.045 -0.119  0.310
  74  0.285  0.191  0.039  0.093  0.228 -0.283 -0.176  0.272
  75  0.360  0.357  0.173  0.135  0.159 -0.084 -0.250  0.120
  76  0.306 -0.002  0.267  0.066  0.396 -0.240 -0.192  0.261
  77  0.322  0.264  0.138  0.056  0.290 -0.204  0.056  0.244
  78  0.303  0.265  0.178 -0.076  0.294 -0.166 -0.095  0.127
  79  0.285  0.484  0.334  0.173  0.120  0.029 -0.135  0.297
  80  0.380  0.426  0.152  0.324  0.140  0.119  0.201  0.574
  81  0.357  0.490  0.356  0.018  0.018  0.025  0.126  0.268
  82  0.147  0.210  0.285  0.021 -0.014 -0.087  0.024  0.155
  83 -0.068 -0.107 -0.025 -0.258 -0.043 -0.236 -0.173 -0.270
  84 -0.233 -0.124 -0.028  0.202 -0.208 -0.200  0.077 -0.148
  85 -0.336 -0.071 -0.036  0.097 -0.197  0.173 -0.158 -0.370
  86 -0.464 -0.225 -0.018 -0.345 -0.165 -0.182 -0.007 -0.454
  87 -0.436 -0.441  0.021  0.000 -0.373 -0.009  0.018 -0.183
  88 -0.453 -0.304  0.009  0.075 -0.128  0.074  0.167 -0.230
  89 -0.623 -0.315 -0.175  0.008 -0.161  0.376 -0.116 -0.359
  90 -0.558 -0.148 -0.324 -0.079 -0.289  0.209 -0.198 -0.214
  91 -0.438  0.115 -0.305 -0.069 -0.315  0.417  0.021 -0.528
  92 -0.358 -0.483 -0.521 -0.393 -0.326 -0.022 -0.163 -0.319
  93 -0.397 -0.278 -0.233 -0.124 -0.110  0.030 -0.132 -0.258
  94 -0.562 -0.211 -0.110 -0.234 -0.095  0.260 -0.080 -0.219
  95 -0.374 -0.121 -0.351 -0.144 -0.113 -0.094 -0.030 -0.024
  96 -0.088 -0.170 -0.393 -0.242 -0.227 -0.134  0.039 -0.196
  97 -0.040 -0.075 -0.438 -0.120  0.099 -0.166 -0.097  0.220
  98 -0.005 -0.133 -0.286 -0.111 -0.007 -0.361 -0.071  0.197
  99  0.362  0.019  0.135  0.061  0.059  0.134  0.197  0.140
 100  0.524 -0.013  0.198  0.064  0.144 -0.307  0.335  0.230
 101  0.498  0.185  0.293  0.185  0.319 -0.077  0.523  0.005
 102  0.284  0.087  0.230  0.387  0.144  0.007  0.267  0.152
 103  0.423  0.140  0.039  0.046  0.203 -0.068 -0.075  0.347
 104  0.270  0.318  0.198  0.383  0.346 -0.094 -0.302  0.198
 105  0.343  0.140  0.465  0.191  0.286 -0.107 -0.363  0.028
 106  0.324  0.348  0.070  0.193  0.383 -0.109 -0.347  0.169
 107  0.457  0.421  0.260  0.018  0.333 -0.011 -0.099  0.230
 108  0.346  0.216  0.232  0.199  0.208  0.110 -0.166  0.492
 109  0.278  0.389  0.222  0.268  0.013  0.175  0.080  0.364
 110  0.140  0.014  0.137  0.389 -0.100 -0.206  0.161  0.058
 111  0.331  0.212  0.252  0.382 -0.128 -0.295  0.061  0.322
 112  0.231  0.142  0.136  0.162  0.010  0.091  0.059  0.304
 113  0.253 -0.042  0.184 -0.060 -0.070 -0.012  0.005  0.248
 114  0.236  0.035  0.162 -0.241 -0.076  0.214  0.309 -0.056
 115 -0.047 -0.276  0.005 -0.399 -0.131  0.038  0.020 -0.536
 116 -0.231 -0.281 -0.006 -0.289  0.025  0.267 -0.142 -0.262
 117 -0.303 -0.151 -0.310 -0.228 -0.071  0.525  0.053 -0.232
 118 -0.455 -0.296  0.056 -0.404 -0.098  0.122  0.051 -0.283
 119 -0.462 -0.210 -0.263 -0.420 -0.233  0.142 -0.107 -0.363
 120 -0.457 -0.064 -0.441 -0.398 -0.091 -0.035  0.064 -0.232
 121 -0.570 -0.404 -0.155 -0.238 -0.243 -0.102 -0.021 -0.203
 122 -0.442 -0.263 -0.259 -0.254 -0.301  0.025 -0.055 -0.176
 123 -0.545 -0.203 -0.205 -0.275 -0.155 -0.267 -0.132 -0.110
 124 -0.500 -0.306 -0.279 -0.040 -0.166  0.211 -0.006 -0.191
 125 -0.443 -0.213 -0.456 -0.103 -0.230  0.156 -0.124 -0.103
 126 -0.497 -0.526 -0.457  0.376 -0.170  0.126 -0.087 -0.253
 127 -0.401 -0.081 -0.294 -0.016 -0.186  0.047 -0.081 -0.398
 128 -0.419 -0.199 -0.394  0.222 -0.044  0.049 -0.031 -0.367
