year	week	part
1977	14	25.43
1977	15	31.87
1977	16	24.29
1977	17	39.16
1977	18	25.12
1977	19	29.09
1977	20	44.28
1977	21	30.82
1977	22	35.48
1977	23	32.00
1977	24	42.21
1977	25	50.72
1977	26	35.68
1977	27	42.33
1977	28	38.64
1977	29	31.34
1977	30	35.67
1977	31	46.25
1977	32	28.99
1977	33	40.95
1977	34	43.52
1977	35	55.96
1977	36	62.68
1977	37	55.11
1977	38	58.20
1977	39	46.54
1977	40	70.18
1977	41	63.47
1977	42	54.20
1977	43	79.33
1977	44	84.63
1977	45	61.30
1977	46	45.23
1977	47	49.39
1977	48	55.44
1977	49	52.89
1977	50	49.81
1977	51	70.13
1977	52	51.20
1978	1	33.42
1978	2	51.38
1978	3	44.75
1978	4	29.73
1978	5	40.61
1978	6	38.54
1978	7	33.52
1978	8	27.99
1978	9	33.03
1978	10	28.45
1978	11	34.62
1978	12	28.50
1978	13	36.68
1978	14	38.51
1978	15	36.46
1978	16	31.67
1978	17	29.37
1978	18	45.10
1978	19	37.34
1978	20	40.83
1978	21	26.23
1978	22	41.39
1978	23	54.79
1978	24	48.53
1978	25	49.52
1978	26	48.24
1978	27	38.98
1978	28	48.30
1978	29	50.38
1978	30	46.98
1978	31	37.37
1978	32	33.96
1978	33	42.00
1978	34	83.31
1978	35	56.31
1978	36	80.37
1978	37	44.22
1978	38	56.81
1978	39	65.55
1978	40	54.19
1978	41	59.00
1978	42	34.21
1978	43	70.47
1978	44	45.77
1978	45	58.69
1978	46	68.59
1978	47	69.01
1978	48	41.98
1978	49	57.91
1978	50	40.87
1978	51	49.12
1978	52	36.65
1979	1	97.94
1979	2	40.38
1979	3	41.46
1979	4	52.88
1979	5	66.78
1979	6	33.82
1979	7	36.40
1979	8	35.32
1979	9	41.24
1979	10	37.87
1979	11	45.54
1979	12	37.26
1979	13	35.95
1979	14	42.48
1979	15	42.84
1979	16	34.24
1979	17	37.36
1979	18	39.51
1979	19	54.25
1979	20	37.89
1979	21	48.03
1979	22	43.51
1979	23	48.69
1979	24	54.48
1979	25	49.22
1979	26	50.34
1979	27	55.97
1979	28	35.50
1979	29	62.81
1979	30	38.61
1979	31	63.60
1979	32	57.53
1979	33	54.97
1979	34	47.22
1979	35	69.14
1979	36	42.17
1979	37	45.59
1979	38	70.72
1979	39	57.58
1979	40	62.61
