year	week	cmort
1973	27	86.83
1973	28	82.00
1973	29	77.96
1973	30	79.69
1973	31	87.32
1973	32	85.33
1973	33	92.02
1973	34	84.03
1973	35	83.45
1973	36	82.35
1973	37	89.17
1973	38	82.24
1973	39	93.35
1973	40	89.16
1973	41	95.13
1973	42	89.10
1973	43	100.32
1973	44	95.61
1973	45	99.61
1973	46	105.82
1973	47	104.20
1973	48	95.45
1973	49	90.48
1973	50	93.58
1973	51	91.71
1973	52	95.29
1974	1	94.69
1974	2	102.50
1974	3	98.58
1974	4	107.12
1974	5	99.29
1974	6	96.85
1974	7	89.02
1974	8	96.27
1974	9	97.55
1974	10	85.16
1974	11	94.77
1974	12	85.45
1974	13	97.46
1974	14	83.31
1974	15	91.41
1974	16	88.84
1974	17	86.44
1974	18	82.08
1974	19	83.63
1974	20	95.22
1974	21	80.28
1974	22	85.59
1974	23	84.68
1974	24	81.53
1974	25	89.20
1974	26	74.51
1974	27	81.85
1974	28	81.97
1974	29	85.01
1974	30	86.98
1974	31	81.67
1974	32	91.11
1974	33	83.38
1974	34	86.18
1974	35	89.93
1974	36	91.82
1974	37	92.27
1974	38	89.29
1974	39	85.41
1974	40	96.78
1974	41	83.60
1974	42	98.63
1974	43	90.86
1974	44	94.36
1974	45	97.52
1974	46	108.68
1974	47	107.23
1974	48	107.08
1974	49	113.39
1974	50	105.51
1974	51	111.90
1974	52	110.44
1975	1	95.42
1975	2	97.78
1975	3	90.38
1975	4	86.89
1975	5	91.59
1975	6	85.51
1975	7	88.16
1975	8	87.03
1975	9	88.61
1975	10	96.96
1975	11	80.03
1975	12	80.53
1975	13	76.46
1975	14	78.85
1975	15	87.03
1975	16	82.27
1975	17	78.92
1975	18	72.75
1975	19	77.75
1975	20	83.79
1975	21	82.13
1975	22	76.42
1975	23	74.58
1975	24	79.61
1975	25	76.52
1975	26	79.27
1975	27	74.70
1975	28	75.49
1975	29	82.82
1975	30	80.29
1975	31	80.05
1975	32	78.64
1975	33	79.40
1975	34	71.02
1975	35	73.55
1975	36	79.60
1975	37	85.08
1975	38	90.14
1975	39	82.26
1975	40	86.75
1975	41	90.11
1975	42	94.86
1975	43	89.68
1975	44	90.16
1975	45	85.73
1975	46	96.82
1975	47	100.37
1975	48	93.43
1975	49	94.12
1975	50	89.26
1975	51	91.81
1975	52	97.40
1976	1	102.71
1976	2	101.94
1976	3	97.40
1976	4	96.12
1976	5	105.45
1976	6	94.34
1976	7	92.51
1976	8	88.47
1976	9	85.47
1976	10	85.70
1976	11	84.48
1976	12	85.63
1976	13	79.67
1976	14	80.78
1976	15	74.58
1976	16	76.32
1976	17	80.37
1976	18	83.30
1976	19	82.98
1976	20	91.34
1976	21	78.57
1976	22	76.68
1976	23	76.47
1976	24	73.66
1976	25	78.61
1976	26	83.40
1976	27	71.96
1976	28	77.17
1976	29	72.38
1976	30	79.52
1976	31	72.05
1976	32	75.86
1976	33	74.32
1976	34	77.70
1976	35	82.99
1976	36	77.79
1976	37	77.42
1976	38	85.55
1976	39	85.33
1976	40	82.16
1976	41	83.74
1976	42	84.40
1976	43	90.32
1976	44	82.74
1976	45	91.50
1976	46	96.23
1976	47	92.90
1976	48	92.30
1976	49	91.76
1976	50	92.34
1976	51	78.91
1976	52	88.06
1977	1	81.91
1977	2	79.68
1977	3	83.20
1977	4	84.05
1977	5	85.80
1977	6	84.39
1977	7	91.74
1977	8	90.65
1977	9	89.67
1977	10	86.24
1977	11	91.46
1977	12	83.30
1977	13	83.05
1977	14	74.14
1977	15	90.12
1977	16	83.84
1977	17	79.94
1977	18	74.65
1977	19	77.89
1977	20	78.06
1977	21	74.96
1977	22	77.90
1977	23	73.65
1977	24	79.32
1977	25	82.91
1977	26	79.48
1977	27	73.21
1977	28	76.46
1977	29	73.76
1977	30	68.11
1977	31	76.53
1977	32	68.46
1977	33	72.84
1977	34	79.92
1977	35	73.26
1977	36	79.55
1977	37	77.02
1977	38	78.39
1977	39	81.86
1977	40	88.20
1977	41	75.69
1977	42	88.85
1977	43	82.52
1977	44	87.44
1977	45	82.91
1977	46	92.84
1977	47	91.85
1977	48	89.82
1977	49	96.84
1977	50	99.56
1977	51	105.10
1977	52	95.70
1978	1	93.46
1978	2	99.27
1978	3	90.39
1978	4	85.85
1978	5	86.69
1978	6	92.94
1978	7	86.63
1978	8	89.78
1978	9	83.22
1978	10	86.04
1978	11	81.53
1978	12	77.46
1978	13	76.63
1978	14	82.09
1978	15	81.22
1978	16	70.96
1978	17	80.17
1978	18	78.48
1978	19	76.80
1978	20	77.63
1978	21	74.31
1978	22	76.30
1978	23	85.97
1978	24	73.07
1978	25	76.29
1978	26	75.21
1978	27	79.18
1978	28	78.25
1978	29	77.24
1978	30	81.55
1978	31	75.46
1978	32	76.86
1978	33	88.43
1978	34	92.93
1978	35	77.65
1978	36	78.74
1978	37	73.63
1978	38	82.11
1978	39	80.81
1978	40	84.34
1978	41	83.48
1978	42	76.40
1978	43	92.77
1978	44	88.09
1978	45	96.20
1978	46	100.28
1978	47	107.58
1978	48	93.73
1978	49	87.33
1978	50	88.11
1978	51	88.07
1978	52	100.81
1979	1	95.52
1979	2	91.14
1979	3	85.67
1979	4	88.24
1979	5	88.61
1979	6	85.64
1979	7	87.29
1979	8	83.92
1979	9	89.15
1979	10	87.61
1979	11	81.99
1979	12	84.86
1979	13	81.17
1979	14	87.33
1979	15	86.40
1979	16	85.90
1979	17	79.01
1979	18	83.49
1979	19	87.88
1979	20	74.94
1979	21	80.32
1979	22	81.75
1979	23	78.68
1979	24	74.62
1979	25	74.16
1979	26	71.50
1979	27	75.89
1979	28	74.89
1979	29	77.36
1979	30	73.63
1979	31	81.17
1979	32	83.91
1979	33	82.36
1979	34	79.74
1979	35	73.46
1979	36	79.03
1979	37	76.56
1979	38	78.52
1979	39	89.43
1979	40	85.49
